id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1461589765480980485,1460141606456246273,2021-11-18 22:58:49 PST,2021-11-18,22:58:49,-0700,1207280697448247297,britbaseballpod,British Baseball Podcast ⚾🇬🇧,,"The badger is the largest predator in England &amp; the team felt it had a kind image as a social animal with real fighting spirit. The Bats grew out of the Bristol Badgers as their 2nd team, &amp; the desire remained to combine English wildlife &amp; alliteration,",en,[],[],[],1,0,3,[],[],https://twitter.com/britbaseballpod/status/1461589765480980485,False,,0,,,,,,,,[],,,,
1461480492377665543,1461397625240887297,2021-11-18 15:44:37 PST,2021-11-18,15:44:37,-0700,623854000,fisherspeaks,Chris Fisher,,"Over the years, our backyard has hosted some unexpected wildlife. Silver-haired Bat, Ovenbird, Swainson's Thrush, Wilson's Warbler  https://t.co/ZwGtkaAdPC",en,[],[],"['https://pbs.twimg.com/media/FEg4XFnVQAEFhCn.jpg', 'https://pbs.twimg.com/media/FEg4blcVEAIiHy_.jpg', 'https://pbs.twimg.com/media/FEg4hNNVEAMJISb.jpg', 'https://pbs.twimg.com/media/FEg4nBgVIAgDKeG.jpg']",0,0,21,[],[],https://twitter.com/FisherSpeaks/status/1461480492377665543,False,,1,https://pbs.twimg.com/media/FEg4XFnVQAEFhCn.jpg,,,,,,,[],,,,
1461465864859959301,1461465864859959301,2021-11-18 14:46:29 PST,2021-11-18,14:46:29,-0700,531065530,cuerdenvalleypk,Cuerden Valley Park,,I've never seen this before. Bats flying near tawny owl @_BCT_ @chorleynats #Lancashire #Wildlife  https://t.co/b5RYoM0Pds,en,"[{'screen_name': '_bct_', 'name': 'bat conservation trust', 'id': '21208560'}, {'screen_name': 'chorleynats', 'name': 'chorleynats', 'id': '919183220901666816'}]",[],[],2,15,64,"['lancashire', 'wildlife']",[],https://twitter.com/CuerdenValleyPk/status/1461465864859959301,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1461464951646793734/pu/img/M39B23SSHv6Z0PWm.jpg,,,,,,,[],,,,
1461401854185775109,1461302104837038088,2021-11-18 10:32:08 PST,2021-11-18,10:32:08,-0700,122244563,cactusplastics,coquet coquette,,"@vanillatary @TheOmniZaddy Our green technology should be safe for wildlife. It's birds, bats and insects . How you could call yourself an environmentalist without understanding the need to steward wildlife is beyond me",en,[],[],[],0,0,0,[],[],https://twitter.com/cactusplastics/status/1461401854185775109,False,,0,,,,,,,,"[{'screen_name': 'vanillatary', 'name': '𝙂𝙤𝙙 𝙃𝙖𝙩𝙚𝙨 𝙁𝙡𝙖𝙜𝙨', 'id': '754137890117091328'}, {'screen_name': 'TheOmniZaddy', 'name': 'TheOmniZaddy 🇺🇦', 'id': '1258525855644626946'}]",,,,
1461399313389690882,1461399313389690882,2021-11-18 10:22:02 PST,2021-11-18,10:22:02,-0700,46444445,inspectioncan,Canadian Food Inspection Agency,,"In October, out of 180 samples, 14 cases of #rabies in wildlife were confirmed in Canada. 1 artic fox, 5 bats, 1 raccoon, 1 red fox and 6 skunks were infected. The cases were reported in SK, MB, ON, QC and NT.  Details:  https://t.co/tk5WSCHt8A  https://t.co/pBt7iW518C",en,[],['https://bit.ly/3x6pKQa'],['https://pbs.twimg.com/media/FEfu7hBXIAA31YS.jpg'],0,2,3,['rabies'],[],https://twitter.com/InspectionCan/status/1461399313389690882,False,,1,https://pbs.twimg.com/media/FEfu7hBXIAA31YS.jpg,,,,,,,[],,,,
1461370253267529728,1461302104837038088,2021-11-18 08:26:33 PST,2021-11-18,08:26:33,-0700,1178915955390332929,davidfoycalgary,Cain! Where is your brother Abel?,,@vanillatary The wind farm I'm most familiar with worked with a couple of wildlife researchers and they were able to make operational changes that significantly reduced bat and bird mortality.,en,[],[],[],0,0,2,[],[],https://twitter.com/DavidFoyCalgary/status/1461370253267529728,False,,0,,,,,,,,"[{'screen_name': 'vanillatary', 'name': '𝙂𝙤𝙙 𝙃𝙖𝙩𝙚𝙨 𝙁𝙡𝙖𝙜𝙨', 'id': '754137890117091328'}]",,,,
1461353983482556421,1461353983482556421,2021-11-18 07:21:54 PST,2021-11-18,07:21:54,-0700,29967605,wtbbc,Wildlife Trust Birmingham & Black Country,,"Our staff enjoyed creating an outdoor performance space for @BantockSchool as part of our #NatureFriendlySchools programme, helping to get children learning outdoors. We've also installed bird, bat and hedgehog boxes across the school grounds to benefit the wildlife around them!  https://t.co/L8GeGu2jwG",en,"[{'screen_name': 'bantockschool', 'name': 'bantock primary school', 'id': '1151100197851803648'}]",[],['https://pbs.twimg.com/media/FEfFsUPUcA4_1oV.jpg'],0,5,19,['naturefriendlyschools'],[],https://twitter.com/WTBBC/status/1461353983482556421,False,,1,https://pbs.twimg.com/media/FEfFsUPUcA4_1oV.jpg,,,,,,,[],,,,
1461331707404169218,1461096858512769025,2021-11-18 05:53:23 PST,2021-11-18,05:53:23,-0700,735474725435154432,scientistdjigr,🦖Djigr🔬 @GeekFaeries @JapanExpo,,"@FalconFour @YellowYailHawk Sorry I made a mistake, I searched for a source and apparenly bird lungs are strong enough for that pressure difference, it's bats that stand no chance and are affected by this. The point still stands that wildlife don't need to be dumb to get killed by these.",en,[],[],[],1,0,1,[],[],https://twitter.com/ScientistDjigr/status/1461331707404169218,False,,0,,,,,,,,"[{'screen_name': 'FalconFour', 'name': 'EV-charging Falcon 🔌⚡️🚗', 'id': '16780803'}]",,,,
1461292801761632260,1460682425810538503,2021-11-18 03:18:48 PST,2021-11-18,03:18:48,-0700,1428056113405177859,dunnylad1,Dunnylad,,"@mism_2020 @Corazzz @Tesco Disposable face masks ...the 2020 -2022 version of the plastic bottle. There are MILLIONS of them now ...on paths, in woodlands, in fields, on beaches, in the ocean ...and no one bats an eyelid. They will kill wildlife and will be around for years. Never raised at COP 26 ...why?",en,[],[],[],0,1,5,[],[],https://twitter.com/Dunnylad1/status/1461292801761632260,False,,0,,,,,,,,"[{'screen_name': 'mism_2020', 'name': 'Dame Murder In Slow Motion🇬🇧🇬🇧🌸🩸', 'id': '1163806545039073280'}, {'screen_name': 'Corazzz', 'name': 'Cora Linn', 'id': '27708869'}, {'screen_name': 'Tesco', 'name': 'Tesco', 'id': '271986064'}]",,,,
1461265458192162817,1461265458192162817,2021-11-18 01:30:08 PST,2021-11-18,01:30:08,-0700,3018684704,betenoir123,Oy Vey Bubbe🔯,,Petition: Sign now to tell Tennessee Wildlife Resources Agency: protect our bats! Invest in bat-friendly bridges now!   https://t.co/tdXRlKOpKS,en,[],['https://www.thepetitionsite.com/405/279/347/this-newly-designed-bridge-is-providing-a-safe-haven-for-endangered-bats/'],[],0,0,0,[],[],https://twitter.com/betenoir123/status/1461265458192162817,False,,0,,,,,,,,[],,,,
1461259907387338759,1461259907387338759,2021-11-18 01:08:05 PST,2021-11-18,01:08:05,-0700,123909308,wkwt,Warwickshire Wildlife Trust,,"We're thrilled to be re-launching our talks programme in 2022! If you are part of a group that would be interested in a talk from Warwickshire Wildlife Trust about wildlife gardening, bats, hedgehogs, and more then please take a look at our website:  https://t.co/WLitBsKqOa",en,[],['http://ow.ly/WXYA50GQAJj'],[],1,3,4,[],[],https://twitter.com/WKWT/status/1461259907387338759,False,,0,,,,,,,,[],,,,
